Ultiboard Information Export File,,,,,,,
,,,,,,,
Design Name  : C1 Reader PCB vB6_0 - Part centroids,,,,,,,
Report Date  : 30 March 2020,,,,,,,
Report Time  : 12:20,,,,,,,
--------------------------------------------------------------------------------,,,,,,,
,,,,,,,
REFDES,VALUE,X_CENTRE[mil],Y_CENTRE[mil],ROT,SIDE,TYPE,FOOTPRINT
,,,,,,,
C1,0.01uF,735.47244,3305.01614,270,BOTTOM,SMD,402
C2,0.01uF,695.31496,2660,270,BOTTOM,SMD,402
C3,0.01uF,460,1135.31496,180,BOTTOM,SMD,402
C4,0.01uF,735.47244,3180,90,BOTTOM,SMD,402
C5,0.01uF,695.31496,2560,270,BOTTOM,SMD,402
C6,0.01uF,580,1135.31496,180,BOTTOM,SMD,402
C7,0.01uF,695.31496,1880,90,BOTTOM,SMD,402
C8,0.01uF,997.65748,799.40236,90,BOTTOM,SMD,402
C9,0.01uF,695.31496,2000,180,BOTTOM,SMD,402
C10,0.01uF,997.65748,929.70118,90,BOTTOM,SMD,402
C11,0.47uF,1839.84252,229.70118,90,BOTTOM,SMD,402
C12,22uF,1479.84252,229.70118,90,BOTTOM,SMD,402
C13,0.01uF,6210.29882,1869.70118,270,BOTTOM,SMD,402
C14,0.01uF,6209.70118,2529.70118,90,BOTTOM,SMD,402
C15,0.01uF,6220.59764,3149.70118,90,BOTTOM,SMD,402
C16,0.01uF,6360,2480,270,BOTTOM,SMD,402
C17,0.01uF,6320.15748,1869.70118,270,BOTTOM,SMD,402
C18,0.01uF,6340.59764,3149.70118,90,BOTTOM,SMD,402
C19,0.01uF,6510.89646,1249.70118,90,BOTTOM,SMD,402
C20,0.01uF,5920,680,90,BOTTOM,SMD,402
C21,0.01uF,6630.89646,1249.70118,90,BOTTOM,SMD,402
C22,0.01uF,6095.05551,669.70118,90,BOTTOM,SMD,402
C23,22uF,5260,220,90,BOTTOM,SMD,402
C24,0.47uF,5600,220,90,BOTTOM,SMD,402
C25,0.01uF,219.84252,1860,90,TOP,SMD,402
C26,0.01uF,5560,1940,90,TOP,SMD,402
C27,0.01uF,5240,1460,90,TOP,SMD,402
C28,0.01uF,5179.84252,3430,90,TOP,SMD,402
C29,0.01uF,1840,747.93701,90,TOP,SMD,402
C30,0.01uF,1820,3830,90,TOP,SMD,402
D1,S1A,1080,340,0,BOTTOM,SMD,S1A
D2,S1A,5940,340,0,BOTTOM,SMD,DO-214AC
J1,AMP201532-C1_Tap,2571,1675,0,TOP,THD,AMP201532-C1_Tap
J2,HDR2X10,1310,259.2126,0,TOP,SMD,HDR2X10(SMT)
J3,HDR2X12,2535.99992,3816,0,TOP,THD,HDR2X12
J4,HDR1X2,464,354,0,TOP,THD,HDR1X2
J5,AMP201532-C1_Tap,4425,1675,0,TOP,THD,AMP201532-C1_Tap
J6,HDR1X2,6424,354,0,TOP,THD,HDR1X2
J7,HDR2X12,4464,3816,0,TOP,THD,HDR2X12
J8,HDR2X10,5690,259.2126,0,TOP,SMD,HDR2X10(SMT)
J9,HDR1X2,6784,354,0,TOP,THD,HDR1X2
J10,HDR1X2,734,644,270,TOP,THD,HDR1X2
J11,HDR1X2,454,644,270,TOP,THD,HDR1X2
J12,HDR1X2,174,644,270,TOP,THD,HDR1X2
J13,HDR1X2,6314,644,270,TOP,THD,HDR1X2
J14,HDR1X2,6594,644,270,TOP,THD,HDR1X2
J15,HDR1X2,6854,644,270,TOP,THD,HDR1X2
LED1,LED_SMT_red,1309.70118,3794.84252,0,BOTTOM,SMD,LED_SMT
LED2,LED_SMT_green,1009.70118,3794.84252,0,BOTTOM,SMD,LED_SMT
LED3,LED_SMT_blue,709.70118,3794.84252,0,BOTTOM,SMD,LED_SMT
LED4,LED_SMT_red,5789.70118,3794.84252,0,BOTTOM,SMD,LED_SMT
LED5,LED_SMT_green,6089.70118,3794.84252,0,BOTTOM,SMD,LED_SMT
LED6,LED_SMT_blue,6389.70118,3794.84252,0,BOTTOM,SMD,LED_SMT
R1,100Ohm,735.31496,3489.70118,270,BOTTOM,SMD,402
R2,100Ohm,715.15748,2849.70118,270,BOTTOM,SMD,402
R3,100Ohm,252.72413,1160,180,BOTTOM,SMD,402
R4,100Ohm,795.31496,3489.70118,270,BOTTOM,SMD,402
R5,100Ohm,775.15748,2849.70118,270,BOTTOM,SMD,402
R6,100Ohm,252.72413,1220,180,BOTTOM,SMD,402
R7,100Ohm,855.31496,3489.70118,270,BOTTOM,SMD,402
R8,100Ohm,835.15748,2849.70118,270,BOTTOM,SMD,402
R9,100Ohm,252.72413,1280,180,BOTTOM,SMD,402
R10,100Ohm,915.31496,3489.70118,270,BOTTOM,SMD,402
R11,100Ohm,895.15748,2849.70118,270,BOTTOM,SMD,402
R12,100Ohm,252.72413,1335.31496,180,BOTTOM,SMD,402
R13,100Ohm,855.31496,3029.70118,90,BOTTOM,SMD,402
R14,100Ohm,835.15748,2389.70118,90,BOTTOM,SMD,402
R15,100Ohm,750.29882,1260,0,BOTTOM,SMD,402
R16,330Ohm,1309.70118,3719.84252,0,BOTTOM,SMD,402
R17,330Ohm,1009.70118,3719.84252,0,BOTTOM,SMD,402
R18,330Ohm,709.70118,3719.84252,0,BOTTOM,SMD,402
R19,100Ohm,675.47244,2189.70118,270,BOTTOM,SMD,402
R20,100Ohm,960,1079.40236,270,BOTTOM,SMD,402
R21,100Ohm,755.47244,2189.70118,270,BOTTOM,SMD,402
R22,100Ohm,1040,1079.40236,270,BOTTOM,SMD,402
R23,100Ohm,835.47244,2189.70118,270,BOTTOM,SMD,402
R24,100Ohm,1120,1079.40236,270,BOTTOM,SMD,402
R25,100Ohm,915.47244,2189.70118,270,BOTTOM,SMD,402
R26,100Ohm,1200,1079.40236,270,BOTTOM,SMD,402
R27,100Ohm,835.47244,1709.70118,90,BOTTOM,SMD,402
R28,100Ohm,5950.29882,2540,180,BOTTOM,SMD,402
R29,100Ohm,5940.03937,1869.70118,180,BOTTOM,SMD,402
R30,100Ohm,5977.87354,3180,180,BOTTOM,SMD,402
R31,100Ohm,5950.29882,2600,180,BOTTOM,SMD,402
R32,100Ohm,5940.03937,1920,180,BOTTOM,SMD,402
R33,100Ohm,5977.87354,3229.70118,180,BOTTOM,SMD,402
R34,100Ohm,5950.29882,2660,180,BOTTOM,SMD,402
R35,100Ohm,5940.03937,1980,180,BOTTOM,SMD,402
R36,100Ohm,5977.87354,3280,180,BOTTOM,SMD,402
R37,100Ohm,5950.29882,2720,180,BOTTOM,SMD,402
R38,100Ohm,5940.03937,2040,180,BOTTOM,SMD,402
R39,100Ohm,5977.87354,3340,180,BOTTOM,SMD,402
R40,100Ohm,6490.29882,2660,0,BOTTOM,SMD,402
R41,100Ohm,6510.29882,1929.70118,0,BOTTOM,SMD,402
R42,100Ohm,6510.29882,3280,0,BOTTOM,SMD,402
R43,100Ohm,6270.89646,1249.70118,180,BOTTOM,SMD,402
R44,100Ohm,6270.89646,1309.70118,180,BOTTOM,SMD,402
R45,100Ohm,6270.89646,1369.70118,180,BOTTOM,SMD,402
R46,100Ohm,5692.72413,680,180,BOTTOM,SMD,402
R47,100Ohm,5692.72413,740,180,BOTTOM,SMD,402
R48,100Ohm,5692.72413,800,180,BOTTOM,SMD,402
R49,100Ohm,6270.89646,1429.70118,180,BOTTOM,SMD,402
R50,100Ohm,5692.72413,860,180,BOTTOM,SMD,402
R51,100Ohm,6850.29882,1379.40236,0,BOTTOM,SMD,402
R52,330Ohm,5789.70118,3719.84252,0,BOTTOM,SMD,402
R53,330Ohm,6089.70118,3719.84252,0,BOTTOM,SMD,402
R54,330Ohm,6389.70118,3719.84252,0,BOTTOM,SMD,402
R55,330Ohm,734,854,90,TOP,SMD,402
R56,330Ohm,454,854,90,TOP,SMD,402
R57,330Ohm,174,854,90,TOP,SMD,402
R58,330Ohm,6314,854,90,TOP,SMD,402
R59,330Ohm,6594,854,90,TOP,SMD,402
R60,330Ohm,6854,854,90,TOP,SMD,402
U1,MAX13362,935.31496,3249.70118,90,BOTTOM,SMD,MAX13362
U2,MAX13362,915.31496,2600,90,BOTTOM,SMD,MAX13362
U3,MAX13362,520,1355.31496,0,BOTTOM,SMD,MAX13362
U4,MAX13362,915.31496,1940,90,BOTTOM,SMD,MAX13362
U5,MAX13362,1215.31496,847.32283,90,BOTTOM,SMD,MAX13362
U6,ESP32s Left Side,394.17323,2777.93701,270,TOP,SMD,HDR1X19
U7,ESP32s Right Side,1294.17323,2777.93701,270,TOP,SMD,HDR1X19
U8,Adafruit SD Card,1625.66929,1107.93701,270,TOP,SMD,HDR1X8
U9,SparkFun Real Time Clock,1634.33071,3627.93701,90,TOP,SMD,HDR1X5
U10,LM2940IMP-5.0/NOPB,1639.84252,449.70118,90,BOTTOM,SMD,SOT230P700X180-4N
U11,MAX13362,6259.55984,2729.10354,0,BOTTOM,SMD,MAX13362
U12,MAX13362,6260.15748,2049.70118,0,BOTTOM,SMD,MAX13362
U13,MAX13362,6280.59764,3349.70118,0,BOTTOM,SMD,MAX13362
U14,MAX13362,6592.67717,1449.10354,0,BOTTOM,SMD,MAX13362
U15,MAX13362,6032.67717,869.70118,0,BOTTOM,SMD,MAX13362
U16,Adafruit SD Card,5380,1107.93701,90,TOP,SMD,HDR1X8
U17,SparkFun Real Time Clock,5339.68504,3627.93701,270,TOP,SMD,HDR1X5
U18,LM2940IMP-5.0/NOPB,5419.84252,449.70118,90,BOTTOM,SMD,SOT230P700X180-4N
U19,ESP32s Left Side,5714.17323,2777.93701,270,TOP,SMD,HDR1X19
U20,ESP32s Right Side,6614.17323,2777.93701,270,TOP,SMD,HDR1X19
